Time (ps),R1_WT,R2_WT,R3_WT,AVG_WT,R1_C391R,R2_C391R,R3_C391R,AVG_C391R,R1_419X,R2_419X,R3_419X,AVG_419X
0,2.27199,2.28165,2.27526,2.2763,2.28049,2.29167,2.2515,2.27455333333333,2.28467,2.30639,2.2851,2.29205333333333
2,2.26788,2.28049,2.2772,2.27519,2.28591,2.28729,2.24722,2.27347333333333,2.28468,2.30662,2.28168,2.29099333333333
4,2.27244,2.28659,2.27781,2.27894666666667,2.28849,2.28791,2.25875,2.27838333333333,2.28709,2.3171,2.28631,2.29683333333333
6,2.27229,2.29344,2.28982,2.28518333333333,2.29578,2.29135,2.254,2.28037666666667,2.28709,2.31411,2.27432,2.29184
8,2.27509,2.27871,2.28877,2.28085666666667,2.28337,2.29706,2.24634,2.27559,2.29071,2.30916,2.27128,2.29038333333333
10,2.27953,2.2849,2.28536,2.28326333333333,2.28257,2.29571,2.24676,2.27501333333333,2.28214,2.31966,2.27012,2.29064
12,2.28498,2.28523,2.27746,2.28255666666667,2.29521,2.2908,2.24832,2.27811,2.28276,2.31136,2.27659,2.29023666666667
14,2.27914,2.28987,2.26718,2.27873,2.30118,2.29171,2.24842,2.28043666666667,2.28446,2.30443,2.27141,2.28676666666667
16,2.27961,2.29339,2.27926,2.28408666666667,2.2976,2.28423,2.24177,2.27453333333333,2.28497,2.30459,2.27815,2.28923666666667
18,2.28006,2.29253,2.28751,2.2867,2.29022,2.28701,2.2446,2.27394333333333,2.29682,2.30441,2.27465,2.29196
20,2.27578,2.29271,2.28953,2.28600666666667,2.29576,2.28798,2.24206,2.27526666666667,2.29342,2.30489,2.27398,2.29076333333333
22,2.28309,2.28384,2.28061,2.28251333333333,2.29731,2.29251,2.23487,2.27489666666667,2.28241,2.31189,2.27922,2.29117333333333
24,2.28631,2.28107,2.28248,2.28328666666667,2.30087,2.29029,2.24331,2.27815666666667,2.28442,2.30653,2.27361,2.28818666666667
26,2.27568,2.28011,2.28017,2.27865333333333,2.30352,2.28826,2.24329,2.27835666666667,2.28475,2.3062,2.27056,2.28717
28,2.27676,2.28434,2.27931,2.28013666666667,2.29769,2.28516,2.24745,2.27676666666667,2.28891,2.30424,2.27428,2.28914333333333
30,2.27246,2.28526,2.27913,2.27895,2.30216,2.28154,2.25573,2.27981,2.29806,2.31143,2.28081,2.29676666666667
32,2.27462,2.27251,2.28312,2.27675,2.30176,2.28526,2.24953,2.27885,2.28673,2.3107,2.28012,2.29251666666667
34,2.26668,2.27533,2.28053,2.27418,2.29157,2.28339,2.24978,2.27491333333333,2.29007,2.31395,2.28111,2.29504333333333
36,2.26888,2.28155,2.27484,2.27509,2.29972,2.29016,2.2488,2.27956,2.28636,2.29847,2.26695,2.28392666666667
38,2.26524,2.27782,2.27803,2.27369666666667,2.29976,2.29686,2.24454,2.28038666666667,2.27632,2.29252,2.27303,2.28062333333333
40,2.25759,2.27544,2.28355,2.27219333333333,2.29961,2.29193,2.25051,2.28068333333333,2.28903,2.30752,2.2747,2.29041666666667
42,2.26587,2.28111,2.2778,2.27492666666667,2.29865,2.28328,2.25121,2.27771333333333,2.28578,2.3015,2.27333,2.28687
44,2.27211,2.27907,2.28038,2.27718666666667,2.30479,2.27919,2.24683,2.27693666666667,2.28185,2.29529,2.27727,2.28480333333333
46,2.26667,2.28578,2.27054,2.27433,2.29893,2.28125,2.24775,2.27597666666667,2.28267,2.28421,2.26797,2.27828333333333
